Rank,Module genes,Cancer type,p,FDR
193,"GRB2, ICMT, KRAS, MAPK1, NRAS, RAF1, RAP1GDS1, RCE1, SHOC2",Large intestine,4.85E-06,0.00262
194,"LDB1, LHX1, LMO4, QRICH1, QSER1, SEPHS1, SPDEF, TRPS1, ZNF652",Large intestine,5.01E-06,0.00262
195,"ADTRP, ALDH5A1, BLOC1S5, C6orf52, CD83, CDKAL1, DCDC2, DTNBP1, EDN1, ELOVL2, F13A1, FAM65B, GCM2, GCNT2, GFOD1, GPLD1, HIST1H1T, HIST1H4A, HIST1H4G, HIVEP1, HLA-G, ID4, KDM1B, KIAA0319, KIF13A, MAK, MBOAT1, MCUR1, NEDD9, NHLRC1, NRSN1, OR5V1, PRL, PRSS16, RBM24, RNF144B, RNF182, SCGN, SLC17A2, SLC17A4, SMIM13, SOX4, STMND1, SYCP2L, TBC1D7, TMEM14B, TMEM14C, TMEM170B, TPMT, ZNF184, ZNF322",Urinary tract,5.61E-06,0.005865
196,"CBL, DUSP6, KRAS, LZTR1, MAPK1, NF1, RAF1, RASA2, RRAS2, SHOC2, SOS1",Large intestine,5.93E-06,0.002817
197,"CAB39, DHX32, NR5A1, NRBP1, OXSR1, SMARCA2, TSC22D2, WNK1",Lung,6.01E-06,0.031431
198,"DUSP6, GRB2, KRAS, LZTR1, MAPK1, NF1, NRAS, PTPN11, RAF1, RCE1, SHOC2, SOS1",Large intestine,6.46E-06,0.002817
199,"CCT5, DROSHA, EXOC3, ICE1, MED10, SUB1",Bone,6.48E-06,0.008464
200,"IKZF1, PTPN1, PTPN2, SBNO2",Haematopoietic/lymphoid,6.70E-06,0.001844
201,"ASH1L, ESR1, FOXA1, GATA3, GRHL2, LDB1, LMX1B, RARA, SEPHS1, SPDEF, TFAP2A, TFAP2C, TRPS1, ZNF652",Large intestine,7.79E-06,0.003135
202,"AARS, ABCE1, ABCG1, ACTL6A, ACTR6, ALG11, ANAPC1, ANAPC11, ANAPC4, ANKLE2, ATP6V0C, ATP6V0D1, BANF1, BANP, BRD2, BUB3, CCDC94, CCT3, CDC123, CDC27, CDC45, CDC5L, CDK1, CDK7, CDT1, CENPN, CENPT, CFDP1, CHEK1, CIAPIN1, CIRH1A, CNIH4, COG4, COG8, COPB1, COPB2, CPSF3L, CSE1L, CTCF, DHX38, DMAP1, DNAJC17, DONSON, EEF2, EFTUD2, EIF2S1, EIF4A3, ERCC3, ERH, ETF1, EXOSC6, FAM25G, FAM96B, FAU, GINS1, GINS2, GINS3, H2AFZ, HNRNPK, HSPA5, HSPA9, HSPE1, IMP4, ISY1, KANSL1, KANSL2, KANSL3, KARS, KAT8, KDM2A, KIF11, KPNB1, LSM2, MED30, MTBP, NARS, NBEAL1, NEDD1, NEDD8, NHP2L1, NIP7, NOB1, NSF, NUDT21, NUP93, NUTF2, OR2A25, ORC6, PAFAH1B1, PCNA, PHF5A, PLK1, POLE, POLR2A, POLR2C, POLR2E, POLR2I, POLR2J, POLR2L, POLR3A, PPP4C, PRELID1, PRIM1, PRPF19, PRPF31, PRPF38A, PRPF8, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMB3, PSMB4, PSMC1, PSMD14, PSMD2, PSMD7, PUF60, RAN, RBBP6, RNGTT, RNPC3, RPL10A, RPL11, RPL12, RPL13, RPL14, RPL15, RPL17, RPL18, RPL18A, RPL19, RPL21, RPL23, RPL23A, RPL27, RPL27A, RPL3, RPL31, RPL32, RPL37, RPL4, RPL6, RPL7, RPL7A, RPL9, RPLP0, RPLP2, RPS11, RPS13, RPS15A, RPS16, RPS17, RPS19, RPS20, RPS24, RPS27A, RPS28, RPS29, RPS3A, RPS6, RPS9, RRM1, RRM2, RSL24D1, RUVBL1, SARS, SBNO1, SDE2, SEC61A1, SF1, SF3A1, SF3B1, SF3B3, SFPQ, SLC7A6OS, SMU1, SNRNP200, SNRPA1, SNRPB, SNRPD1, SNRPD2, SNRPF, SNRPG, SPC24, SRCAP, SRP54, SRSF3, TAF1C, TANGO6, TERF2, TRAPPC3, TXNL4A, TXNL4B, U2AF1, U2AF2, UBL5, UBTF, USP5, VCP, VPS4B, VPS72, WDR33, WDR43, WDR5, WEE1, XAB2, YARS, YEATS4, ZC3H18, ZNF830, ZNHIT1",Autonomic ganglia,8.25E-06,0.001268
203,"ESR1, FOXA1, GATA3, GRHL2, LDB1, LMX1B, QRICH1, QSER1, RARA, SEPHS1, SPDEF, TFAP2A, TFAP2C, TOB1, TRPS1, ZNF652",Large intestine,8.91E-06,0.003327
204,"BATF3, IKZF1, IRF4, PTPN2, RORC, STAT3",Haematopoietic/lymphoid,9.72E-06,0.002421
205,"BATF3, IKZF1, IRF4, PTPN1, PTPN2, STAT3",Haematopoietic/lymphoid,9.72E-06,0.002421
206,"ABHD16B, APCDD1L, ATP9A, BCAS1, BCAS4, BIRC7, BMP7, C20orf195, C20orf197, CABLES2, CASS4, CBLN4, CDH4, CHRNA4, COL9A3, CTCFL, CTSZ, CYP24A1, EEF1A2, FAM209A, FAM209B, FAM65C, GATA5, GMEB2, GNAS, HRH3, KCNB1, LKAAEAR1, MTRNR2L3, MYT1, NFATC2, NKAIN4, NPBWR2, NPEPL1, OPRL1, OSBPL2, PCK1, PCMTD2, PHACTR3, PMEPA1, PPDPF, PPP1R3D, PTK6, RAB22A, RBBP8NL, RBM38, RGS19, SAMD10, SLC17A9, SLC2A4RG, SLCO4A1, SOX18, SS18L1, STMN3, STX16, SYCP2, TCEA2, TFAP2C, TPD52L2, TSHZ2, UCKL1, VAPB, ZGPAT, ZNF512B, ZNF831",Skin,9.92E-06,0.001442
207,"ADIPOR2, AHCY, ATF7IP, BAP1, BAZ2B, BCL11A, BCL2, BEND4, CCND3, CDS2, CITED2, CSTF2T, DDHD2, DENND4A, FAM208A, FBXO7, FLI1, GAB2, GFI1, GNG5, HDDC2, HIST1H1B, HMHA1, HMX2, HMX3, HOXA9, IKZF1, IRF8, JADE2, KDM4A, KIAA1551, KMT2A, LMO2, LYL1, MAML1, MED13L, MEF2C, MEF2D, MEIS2, MORC2, MPHOSPH8, MTF1, MYB, NAIF1, NCKAP1L, PBX2, PIM1, PLCG2, PPHLN1, PTPN2, PTPRA, REEP4, RPS27L, SETDB1, SIK3, SLC30A1, SLC39A10, SLC5A3, SOS1, SPI1, SPRED2, STAT5B, TALDO1, TRIM24, TRIM33, WSB1, ZEB2, ZFP64, ZMYM2",Skin,1.02E-05,0.001442
208,"A1CF, ABCC2, ABLIM1, ACBD5, ACBD7, ACSM6, ACTA2, ADAMTS14, ADARB2, ADIRF, ADK, ADO, ADRA2A, ADRB1, AFAP1L2, AGAP5, AGAP6, AGAP9, AIFM2, AKR1C1, AKR1C2, AKR1C3, AKR1C4, AKR1E2, ALOX5, ANAPC16, ANK3, ANKRD1, ANKRD16, ANKRD2, ANKRD22, ANKRD26, ANKRD30A, ANTXRL, ANXA11, ANXA7, ANXA8, ANXA8L1, AP3M1, APBB1IP, ARHGAP12, ARHGAP19, ARHGAP21, ARHGAP22, ARID5B, ARL3, ARL5B, ARMC3, ARMC4, AS3MT, ASAH1, ASAH2, ASB13, ASCC1, ATOH7, ATP5C1, AVPI1, BAG3, BAMBI, BEND7, BICC1, BLNK, BLOC1S2, BMI1, BTRC, C10orf10, C10orf11, C10orf111, C10orf113, C10orf126, C10orf128, C10orf25, C10orf35, C10orf53, C10orf54, C10orf55, C10orf62, C10orf67, C10orf95, C10orf99, C1QL3, CACNB2, CACTIN, CALHM1, CALHM2, CALHM3, CALML3, CALML5, CAMK1D, CAMK2G, CASC10, CASP7, CC2D2B, CCDC147, CCDC172, CCDC3, CCDC7, CCNJ, CCNY, CDH23, CDHR1, CDNF, CELF2, CEP57L1, CFAP43, CHAT, CHST3, CISD1, CNNM1, CNNM2, COL13A1, COMMD3, COMTD1, CPEB3, CPN1, CREM, CRTAC1, CSGALNACT2, CTAGE15, CTNNA3, CUBN, CUEDC2, CUTC, CXCL12, CYP17A1, CYP26A1, CYP26C1, CYP2C18, CYP2C19, CYP2C9, DCLRE1C, DDX50, DHTKD1, DIP2C, DKK1, DNAJB12, DNAJC1, DNAJC12, DNMBP, DNTT, DPCD, DRGX, DUPD1, DUSP13, DYDC1, DYDC2, EBLN1, ECHDC3, EGR2, EIF4EBP2, ELOVL3, ENKUR, ENTPD1, ENTPD7, EPC1, ERCC6, ERLIN1, EXOC6, FAM107B, FAM13C, FAM149B1, FAM170B, FAM171A1, FAM188A, FAM213A, FAM21A, FAM21C, FAM25A, FAM25G, FAM35A, FAM45A, FAS, FBXL15, FBXO18, FBXW4, FFAR4, FRMD4A, FRMPD2, FUT11, FXYD4, FZD8, GAD2, GATA3, GDF2, GFRA1, GJD4, GLUD1, GOLGA7B, GOT1, GPR158, GPRIN2, GRID1, GSTO2, GTPBP4, H2AFY2, HABP2, HECTD2, HIF1AN, HKDC1, HOGA1, HPS1, HPS6, HSD17B7, HSPA12A, IDE, IDI2, IFIT1, IFIT1B, IFIT2, IFIT3, IFIT5, IL15RA, IL2RA, ITGA8, ITIH2, ITPRIP, KAT6B, KAZALD1, KCNIP2, KCNMA1, KIAA1217, KIAA1279, KIAA1462, KIAA1598, KIF5B, KIN, KLF6, KLHL32, LARP4B, LCOR, LDB3, LIPA, LIPF, LIPJ, LIPK, LIPM, LIPN, LOXL4, LRIT1, LRIT2, LRRC18, LRRC20, LRRTM3, LYZL1, MAP3K8, MAT1A, MBL2, MCM10, MCU, MICU1, MINPP1, MKX, MLLT10, MMRN2, MORN4, MPP7, MRC1, MSMB, MSRB2, MTRNR2L3, MTRNR2L4, MTRNR2L5, MTRNR2L7, MYO3A, MYOZ1, MYPN, NANOS1, NDST2, NEBL, NET1, NEURL1, NEUROG3, NKX2-3, NMT2, NODAL, NPFFR1, NPY4R, NRAP, NRG3, NRP1, NSUN6, NT5C2, NUDT13, NUDT5, NUTM2A, NUTM2B, OGDHL, OIT3, OLAH, OPALIN, OPN4, OPTN, OR13A1, OTUD1, P4HA1, PALD1, PANK1, PAPSS2, PARD3, PAX2, PBLD, PCBD1, PCDH15, PCGF6, PDSS1, PDZD7, PFKFB3, PFKP, PGBD3, PHYH, PHYHIPL, PI4K2A, PIK3AP1, PIP4K2A, PITX3, PKD2L1, PLA2G12B, PLAC9, PLAU, PLXDC2, PNLIPRP1, POLL, PPIF, PPP1R3C, PPP3CB, PRF1, PRKCQ, PROSER2, PRPF18, PRTFDC1, PSAP, PSD, PTCHD3, PTER, PTF1A, PTPLA, PTPN20B, PYROXD2, RASGEF1A, RASSF4, RBM17, RBM20, RBP3, RBP4, REEP3, RET, RNLS, RPP38, RSU1, RTKN2, RUFY2, SAMD8, SDCBP, SEC24C, SEC61A2, SEMA4G, SFMBT2, SFRP5, SFTPA1, SFTPA2, SFTPD, SFXN2, SFXN3, SGMS1, SGPL1, SH2D4B, SH3PXD2A, SKIDA1, SLC16A12, SLC16A9, SLC18A2, SLC18A3, SLC25A16, SLC29A3, SLC39A12, SLK, SNCG, SORBS1, SORCS1, SORCS3, SPAG6, SPOCK2, SRGN, ST8SIA6, STAM, STAMBPL1, SUV39H2, SVIL, SYNPO2L, SYT15, TACR2, TAF3, TBATA, TBC1D12, TCTN3, TECTB, TET1, THNSL1, TLL2, TLX1, TLX1NB, TMEM236, TMEM254, TMEM26, TMEM72, TRDMT1, TSPAN14, TSPAN15, TTC18, TUBAL3, UBE2D1, UCMA, UCN3, UNC5B, UPF2, USP54, USP6NL, VAX1, VIM, VSTM4, VTI1A, WAC, WDFY4, WDR37, XPNPEP1, YME1L1, ZCCHC24, ZDHHC16, ZDHHC6, ZFAND4, ZFYVE27, ZMIZ1, ZMYND11, ZNF22, ZNF239, ZNF248, ZNF25, ZNF32, ZNF33A, ZNF33B, ZNF365, ZNF37A, ZNF438, ZNF485, ZNF488, ZNF503, ZNF768, ZSWIM8",Autonomic ganglia,1.04E-05,0.001547
209,"ABHD16B, ADNP, APCDD1L, ATP9A, BCAS1, BCAS4, BMP7, C20orf197, CABLES2, CASS4, CBLN4, CDH4, CEBPB, CHRNA4, COL9A3, CTCFL, CTSZ, CYP24A1, EEF1A2, EPPIN, FAM209A, FAM209B, FAM217B, FAM65C, GNAS, KCNB1, LKAAEAR1, MC3R, MTRNR2L3, MYT1, NFATC2, NPBWR2, NPEPL1, OPRL1, OSBPL2, PABPC1L, PCK1, PCMTD2, PHACTR3, PMEPA1, PPDPF, PPP1R3D, RAB22A, RBBP8NL, RBM38, RGS19, SALL4, SLC17A9, SLC2A4RG, SLC9A8, SLCO4A1, SNAI1, SOX18, SPO11, SS18L1, STMN3, STX16, SULF2, SYCP2, TCEA2, TFAP2C, TSHZ2, TUBB1, UCKL1, VAPB, ZBP1, ZFP64, ZGPAT, ZNF512B, ZNF831",Skin,1.07E-05,0.001467
210,"ADIPOR2, ASB7, ATF7IP, AUP1, BAP1, BAZ2B, BCL11A, BCL2, BEND4, CCND3, CITED2, CSTF2T, DMXL1, FAM208A, FBXO7, FLI1, GAB2, GFI1, HDDC2, HERPUD1, HIST1H1B, HMHA1, HMX2, HMX3, ID2, IKZF1, IKZF3, IRF4, IRF8, JADE2, KCNQ5, KDM4A, KIAA1551, KMT2A, LMO2, LYL1, MAML1, MEF2C, MEF2D, MEIS2, MORC2, MPHOSPH8, MYB, NCKAP1L, NEK2, NFKB1, PBX2, PDE7A, PIM1, PLCG2, POU2AF1, PPHLN1, PRDM1, PTPN2, PTPRA, REEP4, RPS27L, RRM2B, SETDB1, SIK3, SLC5A3, SMAD7, SOS1, SPI1, SPRED2, STAT5B, TALDO1, TCF3, TRIM24, TRIM33, WSB1, ZEB2, ZFP64, ZMYM2",Skin,1.09E-05,0.001467
211,"GOLGA2, RAB1B, SEC23IP, TRAPPC13, TRIP11",Kidney,1.12E-05,0.004524
212,"ATP13A1, AUP1, BAK1, BAX, BAZ2B, BCL11A, BCL2, BCL2L2, CCND3, CEP55, CHIC2, CITED2, CSTF2T, DDHD2, DENND4A, ETV6, FBXO7, FLI1, FLT3, GAB2, GFI1, GNG5, HDDC2, HERPUD1, HIST1H1B, HMHA1, HMX2, HMX3, HOXA9, ID2, IKZF1, IRF4, IRF8, JADE2, KCNQ5, KMT2A, LMO2, LYL1, LZTR1, MAML1, MARCH5, MARCH6, MCL1, MEF2C, MEF2D, MEIS2, MYB, NCKAP1L, NF1, PATZ1, PBX2, PIK3R5, PIM1, PLCG2, PMAIP1, POU2AF1, PRDM1, PTPN2, PTPRA, REEP4, RER1, RPS27L, SIK3, SLC5A3, SOS1, SPI1, SPRED2, SPTLC2, STAT5B, STUB1, TALDO1, TCF3, THAP3, TM2D2, TM2D3, TRIM8, UBE2J2, VDAC2, WSB1, WSB2, ZEB2, ZFP64",Skin,1.21E-05,0.001585
213,"A2M, A2ML1, ABCC9, ACRBP, ACSM4, ACVR1B, ACVRL1, ADIPOR2, AEBP2, AICDA, AK4, AKAP3, ALG10, AMN1, ANKRD13B, ANKRD33, APOBEC1, APOLD1, ARF3, ARHGDIB, ARNTL2, ART4, ASIC1, ASPHD1, ATF1, ATF7IP, ATN1, B4GALNT3, BBIP1, BCAT1, BCDIN3D, BCL2L14, BHLHE41, BICD1, C12orf10, C12orf4, C12orf5, C12orf57, C12orf60, C12orf71, C12orf77, C1RL, C1S, C2CD5, C2orf76, C3AR1, C3orf33, CACNA1C, CACNA2D4, CAPRIN2, CAPZA3, CASC1, CBLB, CCDC77, CCDC91, CCND2, CD163, CD163L1, CD27, CD4, CD69, CD9, CDKN1B, CERS5, CLEC12A, CLEC12B, CLEC1A, CLEC1B, CLEC2A, CLEC2B, CLEC2D, CLEC4A, CLEC4C, CLEC4D, CLEC4E, CLEC6A, CLEC7A, CLEC9A, CLECL1, CLOCK, CLSTN3, CMAS, COL2A1, COPS7A, CPB1, CPLX4, CRACR2A, CREBL2, CSAD, CSRNP2, DAAM1, DCP1B, DENND5B, DERA, DNAJC14, DPPA3, DRD4, DUSP16, DYRK4, EMP1, ENO2, EPS8, ERC1, ERGIC2, ERP27, ETNK1, ETV6, EYA4, FAIM2, FAM186A, FAM222B, FAM60A, FAM69C, FAR2, FBXL14, FGD4, FGF20, FGF23, FGF6, FGFR1OP2, FKBP4, FLVCR2, FOXJ2, GABARAPL1, GALNT8, GDF3, GNB3, GOLT1B, GPR162, GPR19, GPRC5A, GPRC5D, GRASP, GRIN2B, GSG1, GUCY2C, GYS2, H2AFJ, H3F3C, HADHA, HDAC7, HEBP1, HIGD1C, HIST4H4, HOXC12, HTR7, IAPP, IDUA, IFFO1, IGFBP6, IL12RB2, IL17RE, ING4, IPO8, IQSEC3, ITFG2, ITPR2, KCNA1, KCNA5, KCNA6, KCNJ8, KDM5A, KIAA1467, KIAA1551, KIF5A, KLHL3, KLHL42, KLRB1, KLRC1, KLRC2, KLRC4, KLRD1, KLRF1, KLRF2, KLRG1, KLRK1, KRAS, KRBA2, KRT4, KRT5, KRT6B, KRT75, KRT77, KRT78, KRT79, KRT82, KRT83, KRT84, KRT86, LACRT, LAG3, LALBA, LDHB, LIMA1, LMNTD1, LMO3, LOH12CR1, LPAR5, LPCAT3, LRMP, LRP5, LRP6, LRRC23, LRRC70, LRTM2, LTBR, M6PR, MAATS1, MANSC1, MANSC4, MAPK4, METTL20, METTL7B, MFAP5, MGP, MGST1, MGST3, MLF2, MRO, MRPL51, MRPS35, NANOG, NDUFA4L2, NDUFA9, NECAP1, NINJ2, NPPB, NR4A1, NRIP2, NSUN6, NTF3, OCIAD1, OCLM, OLR1, OR10P1, OR51A7, PARP11, PARP15, PARPBP, PCED1B, PDE3A, PDE6H, PDYN, PEX5, PHC1, PIANP, PIK3C2G, PKP2, PLBD1, PLCL2, PLCZ1, PLEKHA5, PLEKHG6, PLS1, POLI, POU6F1, PPFIBP1, PPP1R1A, PRB1, PRB2, PRB4, PRH2, PRKAG1, PRMT8, PRPF40B, PRR4, PTHLH, PTMS, PTPN6, PTPRO, PZP, RAB5A, RAD51AP1, RAD54B, RASSF8, RBP5, RECQL, REP15, RERG, RERGL, RIMKLB, SAR1B, SCNN1A, SENP1, SERPINB7, SH3GLB1, SLC2A14, SLC2A3, SLC4A5, SLC4A8, SLC6A12, SLC6A13, SLCO1A2, SLCO1B1, SLCO1B3, SLCO1B7, SLCO1C1, SMCO2, SMCO3, SOAT2, SOX5, SPAG1, SPSB2, SPX, SSPN, ST8SIA1, STK38L, STYK1, SYT10, TAPBPL, TAS2R10, TAS2R13, TAS2R14, TAS2R19, TAS2R20, TAS2R30, TAS2R31, TAS2R43, TAS2R46, TAS2R50, TAS2R7, TAS2R8, TAS2R9, TATDN1, TDG, TEAD4, TEX30, TF, TM7SF3, TMEM106C, TMEM52B, TMPRSS12, TMTC1, TNFRSF1A, TNFRSF9, TRIM60, TSPAN11, TSPAN9, TULP3, UGDH, UGT3A1, UTS2B, VAMP1, VWF, WNT5B, YBX3, ZBBX, ZNF117, ZNF12, ZNF384, ZNF519, ZNF641, ZNF654, ZNF655, ZNF732, ZNF846",Thyroid,1.34E-05,0.001662
214,"ACTB, ACTR3, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH2, ARPC4, BCAR1, BCAR3, BTBD9, CAB39, CAND1, CDC42, CRK, CRKL, CUL3, CUL5, DCUN1D3, DLG5, DOCK5, ELMO2, EPT1, FAM49B, FERMT2, FHL2, FRMD6, FRYL, GNA13, HSP90B1, ILK, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KCTD5, KIRREL, LATS2, LIMS1, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MGRN1, MOB4, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PARVA, PDCD10, PICALM, PKN2, PLXNA1, PPM1F, PTEN, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RHOG, RIC8A, RNF146, RNF7, RSU1, SAV1, SENP8, SGK223, STK24, STK38, TAOK1, TAOK2, TEAD1, TLN1, TNS3, TP53BP2, TRIO, TSC1, TSC2, UBE2F, UBE2R2, VCL, WWC1, WWTR1, YES1",Pancreas,1.35E-05,0.003914
215,"CBFA2T3, CSF2RB, ETV6, ZFPM1",Bone,1.37E-05,0.012435
216,"ABI1, ACTB, ACTR2, ACTR3, AHR, AIP, AMOTL2, ANKMY2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARNT, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, FAM129B, FAM49B, FERMT2, FHL2, FRYL, GNA13, HSP90AB1, HSPA4, ILK, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, KLF6, LATS2, LIMS1, LPAR1, LUZP1, MAP4K4, MARK2, MLLT4, MOB4, MPRIP, MYL6, MYO9A, MYO9B, NCKAP1, NF2, NRP1, PARD3, PARD6B, PARVA, PAWR, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SPECC1L, STIP1, STK24, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TLN1, TNS3, TP53BP2, TRIO, VCL, WASF2, WWC1, WWTR1, YES1",Pancreas,1.39E-05,0.003914
217,"SAR1A, SEC23B, SEC23IP, SEC31A, TRAPPC13",Kidney,1.39E-05,0.004856
218,"SAR1A, SEC23B, SEC23IP, SEC24C, SEC31A",Kidney,1.39E-05,0.004856
219,"ACTB, ACTG1, ACTR2, ACTR3, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH1, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CAND1, CAP1, CCNC, CDC42, CFL1, CORO1C, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, FAM129B, FAM49B, FERMT2, FHL2, FRYL, GNA13, ILK, IQGAP1, ITGAV, ITGB1, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LPAR1, LUZP1, MAP4K4, MARK2, MLLT4, MOB4, MPP5, MPRIP, MYL6, MYO9A, MYO9B, NCKAP1, NF2, NRP1, PAK2, PARD3, PARD6B, PARVA, PAWR, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RHOA, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SPECC1L, STK24, TAOK1, TAOK2, TEAD1, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, VCL, WDR1, WWC1, WWTR1, YES1",Pancreas,1.40E-05,0.003914
220,"AVPR1A, HMGA2, OR6C4, RASSF3",Bone,1.43E-05,0.012435
221,"EGFR, GAB1, GRB2, PTPN11, SOS1",Upper aerodigestive tract,1.44E-05,0.075082
222,"ACTB, ACTG1, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC4, BTBD9, CDC42, CORO1C, CRB3, CTNNA1, CUL3, DAPK3, DIAPH3, DLG5, ECT2, F11R, FAM129B, FAM49B, FHL2, FLII, FRYL, GNA13, ILK, INADL, IQGAP1, KCTD10, KIF20A, KIRREL, LATS2, LLGL2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PFN1, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN14, RAB35, RALGAPB, RAP1GDS1, RAP2B, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, SAV1, SPECC1L, SPTBN1, SPTSSA, SRF, STK17B, TAOK1, TAOK2, TJP1, TMOD3, TP53BP2, VCL, WWC1, WWTR1",Ovary,1.45E-05,0.00899
223,"ABI1, ACTB, ACTR2, ACTR3, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CDH2, COL4A3BP, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, FAM129B, FAM49B, FERMT2, FHL2, FRYL, GNA13, ILK, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LPAR1, LUZP1, MAP4K4, MARK2, MARK3, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO10, MYO9A, MYO9B, NCKAP1, NF2, NRP1, NUAK2, PAK2, PARD3, PARD6B, PARVA, PAWR, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RHOC, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SPECC1L, SPTSSA, STK17B, TAOK1, TAOK2, TEAD1, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, VCL, WWC1, WWTR1, YES1, YWHAE",Pancreas,1.47E-05,0.003914
224,"ACTB, ACTR2, ACTR3, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CORO1C, CRB3, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, F11R, FAM129B, FAM49B, FERMT2, FHL2, FLII, FRYL, GNA13, ILK, INADL, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LLGL2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, RAB35, RAC1, RALGAPB, RAP1GDS1, RAP2B, RAPGEF1, RAPH1, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, RSU1, SAV1, SPECC1L, SPTSSA, STK17B, STK24, TAOK1, TAOK2, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, UNC45A, VCL, WWC1, WWTR1, YWHAE",Pancreas,1.48E-05,0.003914
